"","Sample.No.","Sample.Code","Length","Mid.1","Mid.2","Volume","OvalityPct","Ovality"
"1",40,"40KY10400752478259",4.9,37.8,37.3,0.543,"1.30%",1.3
"2",40,"40KY10400752478259",4.88,24.8,23.6,0.224,"5.10%",5.1
"3",40,"40KY10400752478259",4.88,19.2,17.5,0.129,"9.70%",9.7
"4",40,"40KY10400752478259",4.88,27,26.3,0.272,"2.70%",2.7
"5",40,"40KY10400752478259",4.89,18.4,19.1,0.135,"3.80%",3.8
"6",40,"40KY10400752478259",4.88,18.5,18.8,0.133,"1.60%",1.6
"7",40,"40KY10400752478259",4.91,33.9,31.8,0.416,"6.60%",6.6
"8",40,"40KY10400752478259",4.9,24.4,23.7,0.223,"3.00%",3
"9",40,"40KY10400752478259",4.9,21.6,21.1,0.175,"2.40%",2.4
"10",40,"40KY10400752478259",4.9,37.8,37.3,0.543,"1.30%",1.3
"11",40,"40KY10400752478259",4.88,24.8,23.6,0.224,"5.10%",5.1
"12",40,"40KY10400752478259",4.88,19.2,17.5,0.129,"9.70%",9.7
"13",40,"40KY10400752478259",4.88,27,26.3,0.272,"2.70%",2.7
"14",40,"40KY10400752478259",4.89,18.4,19.1,0.135,"3.80%",3.8
"15",40,"40KY10400752478259",4.88,18.5,18.8,0.133,"1.60%",1.6
"16",40,"40KY10400752478259",4.91,33.9,31.8,0.416,"6.60%",6.6
"17",40,"40KY10400752478259",4.9,24.4,23.7,0.223,"3.00%",3
"18",40,"40KY10400752478259",4.9,21.6,21.1,0.175,"2.40%",2.4
"19",40,"40KY10400752478259",4.91,17.9,16.9,0.117,"5.90%",5.9
"20",40,"40KY10400752478259",4.89,21.8,21.9,0.183,"0.50%",0.5
"21",40,"40KY10400752478259",4.89,24.9,24.5,0.234,"1.60%",1.6
"22",40,"40KY10400752478259",4.88,20.7,19.2,0.153,"7.80%",7.8
"23",40,"40KY10400752478259",4.87,25.6,26.8,0.263,"4.70%",4.7
"24",40,"40KY10400752478259",4.9,29.7,28.5,0.326,"4.20%",4.2
"25",40,"40KY10400752478259",4.86,25.5,25,0.243,"2.00%",2
"26",40,"40KY10400752478259",4.88,19.7,19.3,0.146,"2.10%",2.1
"27",40,"40KY10400752478259",4.87,30.4,29.2,0.34,"4.10%",4.1
"28",40,"40KY10400752478259",4.91,27,27,0.281,"0.00%",0
"29",40,"40KY10400752478259",4.89,28.6,29.2,0.321,"2.10%",2.1
"30",40,"40KY10400752478259",4.89,22.3,22.2,0.19,"0.50%",0.5
"31",40,"40KY10400752478259",4.92,32.1,32.6,0.404,"1.60%",1.6
"32",40,"40KY10400752478259",4.89,27,26.7,0.277,"1.10%",1.1
"33",40,"40KY10400752478259",4.92,23.4,23,0.208,"1.70%",1.7
"34",40,"40KY10400752478259",4.88,21.5,21.8,0.18,"1.40%",1.4
"35",40,"40KY10400752478259",4.88,22.8,23.8,0.208,"4.40%",4.4
"36",40,"40KY10400752478259",4.9,28.6,28.6,0.315,"0.00%",0
"37",40,"40KY10400752478259",4.88,24.2,24.9,0.231,"2.90%",2.9
"38",40,"40KY10400752478259",4.89,24.4,24.4,0.229,"0.00%",0
"39",40,"40KY10400752478259",4.89,24.4,24,0.225,"1.70%",1.7
"40",40,"40KY10400752478259",4.9,29.7,28.5,0.326,"4.20%",4.2
"41",40,"40KY10400752478259",4.86,25.5,25,0.243,"2.00%",2
"42",40,"40KY10400752478259",4.88,19.7,19.3,0.146,"2.10%",2.1
"43",40,"40KY10400752478259",4.87,30.4,29.2,0.34,"4.10%",4.1
"44",40,"40KY10400752478259",4.91,27,27,0.281,"0.00%",0
